index,review,rating,acting,directing,script,sound,fun
23,왜 충무로표는 마무리를 항상 질질 끌고 눈물을 자극하고 싶어하는 걸까 ...진짜 궁금하다,6,0,0,1,0,0
24,동네 바보형들을 조심하라. 그들은 인간병기일지 모른다..,5,0,0,0,0,0
25,댓들이 다 왜이러죠;; 지금까지 웹툰->영화화 되었던 작품중에 정말 성곡적인 사례라고 생각됩니다. 개인적으로 캐스팅과 연출이 원작느낌을 많이 살려줘서 정말 좋았습니다!  앞으로도 웹툰영화화가 많이 발전했으면 좋겠네요 ㅎㅎ,10,0,1,1,0,0
26,만화도 쓰레긴데ㅜ영화가 좋을리가? 영화관에서 돈이까워서 울뻔,1,0,0,0,0,0
27,이거 영화로 보니까 존나 오그라듬 ㅋㅋ,2,0,0,0,0,0
28,영화시간 늘려서라도 웹툰에 괜찮은 내용 더 넣지그랬나,2,0,0,1,0,0
29,노잼 핵노잼 원폭노잼원작하고 너무다름...,1,0,0,0,0,1
30,잘생긴 배우 몇명만 캐스팅해도 관객수가 600만을 넘길 수 있구나!,1,1,0,0,0,0
31,OOO기같은 영화ㅋㅋ,1,0,0,0,0,0
32,재밌었음당 감동적이었슴당.,10,0,0,0,0,1
33,원작은 안봐서 모르겠고   나름 좋은 영화 입니다.,9,0,0,0,0,0
34,돈내고 보기 아까운영화,1,0,0,0,0,0
35,솔직히 마지막액션씬빼고는 볼거없더라,2,0,0,0,0,0
36,원작을좋아하는나는 가족을이끌고 개봉첫날에 이영화를봤다  가족은 만족 나는 우울했다.,4,0,0,0,0,0
37,점수 너무짜다..10점이지이건ㅠㅠ,10,0,0,0,0,0
38,김수현팬인데 배우들 연기는 다좋았다만 내용이 엉망이였다 처음엔 지루했고 갈수록 급전개같은....영화보고 그냥 김수현 이현우 박기웅 얼굴만 기억나고 내용들은 전혀 기억이 안날정도로 지루...,2,1,0,1,0,1
39,맨오브스틸 평점테러 어이없어서 1점 준다,1,0,0,0,0,0
40,난웹툰안보고봐서그런가잼있었고김수현이현우짱!!!,10,1,0,0,0,1
41,웹툰을 보고 이 영화를  봤는데 너무초월 압축인 내용이엇다;; 오히려 액션씬 보다는 개그씬이 더 재밌었다 정도 근데 배우들  연기는 제법 괜찮았다 내용이 부실해서 그렇지...,5,1,0,1,0,1
42,돈내고 이거보지 말고 싸게 웹툰보자,1,0,0,0,0,0
43,조연들이 살린 영화 이현우 영화를 수십개찍었는데 연기는 안늘고 출연료만 느는이유는?,1,1,0,0,0,0
44,이정도면 충분히 재미를 준 훌륭한 오락영화였다. 연기력들도 탄탄,10,1,0,0,0,1
45,정의를 위하여....2,1,0,0,0,0,0
46,간첩 미화영화 사라져야할 영화다,1,0,0,0,0,0
47,훈훈한 주연들에 코믹한 내용으로 가볍게 보기 좋았습니다 재미있어서 추천드림,10,0,0,1,0,1
48,김복남 살인사건의 전말 만드신 장철수감독의 솜씨는 진짜 김기덕뺨치는데.  은위 는 영그런걸 보니 CJ측에서 맘대로 감독이 못만들도록 압박을 가한것같음.우리나라 영화계에서 CJ의 힘이얼마나 막강한데.모른다면 배쫄쫄 굶으면서 영화한편만들면 뼈저리게느낌,6,0,1,0,0,0
49,김수현멋있음 액션씬도짱,10,1,1,0,0,0
50,최고의 재료를 가졌지만 그걸 활용할줄 모른다면 아무소용없다주제만 좋았지 발단부터 시작해서 절정 결말 하나부터 열까지 싸그리 개 쓰레기다.,1,0,0,1,0,0
51,웹툰의 명성에 기대어 바보같은 영화를 만들었다,1,0,0,0,0,0
52,박평식 평론가가 이런 영화에 6점이나 주다니 정말 이해할수없다,4,0,0,0,0,0
53,웹툰으로 눈물 펑펑 쏟았던 제가 살아서 움직이는 배우들의 연기에 눈물한방울 안흘렸습니다 처음에 웹툰말고 영화로 보셨던 분들 웹툰 500원내고 한번 보세요 왜 평점이 이런지 아실겁니다.(참고로 전 여자입니다),1,1,0,0,0,0
54,웹툰망침+우리나라영화계가 2015년상반기에 개망하고있는 이유는이런스타와 배급력을앞세운 일련의 쓰레기영화들때문이다,1,0,0,0,0,0
55,아이디 300개였으면 평점 6점대로 갈수있었을텐데 아쉽.,1,0,0,0,0,0
56,김수현 박기웅 이현우그리고손현주의연기는좋았다 하지만 스토리전개가 어설픈것이 조금 마음의 걸린다,7,1,0,1,0,0
57,웹툰보면더재밌겠지만웹툰안보고영화봤는데재밌게봤어요,10,0,0,0,0,1
58,안 봤는데 걍 심심해서 1점드림,1,0,0,0,0,0
59,아무리 김수현이 좋지만 이건아닌듯...어떻게 이런배우들로 이런영화를 만드시는지 정말배우들이 아까운 영화네요. 졸작,2,1,0,0,0,0
60,굿입니다!!  만화도 굿!,10,0,0,0,0,0
61,웹툰이 훨 나음 내용전개가 너무 억지스러운 부분이 있슴,1,0,0,1,0,0
62,재밋다재밋다재미있다재미이이이ㅣ이이ㅛ다,10,0,0,0,0,1
63,영화를 똥꾸멍으로 쳐보나,1,0,0,0,0,0
64,와 님들 이 영화 똑바로 안보셧구나 님들 글면 다른 영화를 만들어보세요. 힘들게 만든 영화감독은 얼마나 슬프겠어요? 안그래요?,10,0,0,0,0,0
65,김수현이 자기 롤모델이 크리스토프 왈츠라 했는데  한참 멀었구나,4,1,0,0,0,0
66,쓰레기다. 이런 영화가 어찌 맨오브스틸 같은 잘 만들어진 영화와 경쟁을 했는지,1,0,0,0,0,0
67,이 영화 한줄 요약. 이 영화를 가장 좋아하는 그룹은 10대 여자입니다.,1,0,0,0,0,0
68,보지말걸..제기럴ㅠㅠ,1,0,0,0,0,0
69,평점이 왜이리 높냐? 영화를 보는 내내 돈낭비란 생각이든건 처음이다,1,0,0,0,0,0
70,아쉽네요~두시간에 내용을 다 담기는 어려웠나봐요...,1,0,0,1,0,0
71,그냥 킬링타임용으로 보기엔 재미 있음. 김수현 바보 연기도 재미 있고.,8,1,0,0,0,1
72,졸잼이었는데    ,10,0,0,0,0,1
73,현우 오빠 완전 귀엽구  잘 생겼어요!!,9,0,0,0,0,0
74,한숨만 나옴 급전개. 돈이아깝다,1,0,0,1,0,0
75,이게 7점대라니 말도안됨 진짜로 재미없었음 내가 제일 좋아했던 웹툰인데 이렇게 망쳐버리다니;;,1,0,0,0,0,1
76,원작보단 못하지만 그래도 이렇게까지 저평가 받을 만한 영화는 아니었는데...?,8,0,0,0,0,0
77,별 반개도 아까움 거의 쓰래기 수준,1,0,0,0,0,0
78,솔직히 원작을 생각하면 각색도 나쁘지않게 잘 연출한거 같은데... 박한 평가를 받을 이유가 있다면 원작의 문제라고 생각된다...,6,0,1,1,0,0
79,그냥 웹툰으로 남았어야 했을 작품,2,0,0,0,0,0
80,평이 안좋아서 기대는 안했는데  기대 이상이다... 하지만 웹툰을 보지 않았음에도 후반부 템포가 갑자기 빨라지는 느낌은 확실히 받았다. 차라리 2편으로 나눴으면 더 낫지 않았을까?,7,0,1,0,0,0
81,한국영화의 한계를 드러낸 영화.창의는없고 인기끌었던 웹툰 한류스타와의 리메이크가 전부임. 이미 헐리웃으로 관객들의 눈높이가 높아졌기에 티켓파워로만 밀어부치는 한국영화가 안타까울뿐..,5,0,0,0,0,0
82,만화는 만화로 남았을 때 아름다운 것 같다,7,0,0,0,0,0
83,괜찮던데..(열자),10,0,0,0,0,0
84,은밀하게 관객 돈빼았기,1,0,0,0,0,0
85,웹툰을 안 봐서 모르겠지만 영화 스토리도 탄탄하고 배우들의 연기도 좋았다.,9,1,0,1,0,0
86,대박 재밌어요.또 반전이 있어서 좋네요.,10,0,0,0,0,1
87,영화가 6백만인데 어째서 재미 없단거지? 무언가 논리에 맞지가 않음. 난 웹툰 재밌었는데? 그리고 원래 소설이나 웹툰을 영화화하면 디테일성이 부족해 지는 것는 당연한 거임. 그럴거면 영화를 보지 말던가.,10,0,0,0,0,1
88,내가 진짜 재미없어도 평점 4는 주는데 이건 걍 쓰레기중에 쓰레기 ocn에서 봐도 tv수신료가 아깝다  에휴...우리나라 영화는 언제쯤 발전하려나,1,0,0,0,0,1
89,이걸 왜 보는가 영화가 너무 재미가 없자나,1,0,0,0,0,1
90,실망.원작의명성을기대했는데..원작을보지못했지만이영화가원작을망친것은분명할거라느꼈음.초반은괜찮았다바보를연기하는간첩이란설정을잘보여주었고등장인물들이소개될때까지영화는괜찮았는데.이현우가등장하고부터전개도엉망이고뭔가끊기는느낌들고.손현주악역은꽤인상깊었으나마무리도썩별로,6,1,1,1,0,0
91,웹툰 원작의 1화나 프롤로그보다 재미없고 감동 그 무엇도 없다.원작을 망치고 김수현만 불쌍해지는 영화,1,1,0,1,0,1
92,영화를 12세이하 관람  13세 이상 관람불가로 만들줄은 몰랐다,4,0,0,0,0,0
93,음..전 재밌었는데..웹툰을 안보고 봐서그런지 몰라도..재밌게 봤어요..,10,0,0,0,0,1
94,정말 이영화는 쓰레기다 이거 볼 시간에 의뢰인을 보시길,1,0,0,0,0,0
95,결국엔 모두다 죽음.전개도 결말도 재미가 없다..ㅉㅉ,1,0,0,1,0,1
96,최고인기 웹툰+김수현 조합으로 오히려 욕먹은 영화. 쓰레기는 아니고 평타수준이지만 잔잔한 재미로 볼 때마다 웃음짓게 하는 유쾌함이 있다. 아름다운 배우들의 눈요기는 덤.  배우들의 힘을 따라오지 못한 연출의 미숙함은 매우 안타깝다.,7,1,1,0,0,1
97,차라리 드라마로 만들었더라면 좋았을텐데...,5,0,0,0,0,0
98,스물보고 보니깐 정말괜찮네...,7,0,0,0,0,1
99,김수현바보연기 너무 만족스러웠어요,10,1,0,0,0,0
100,1점도 아깝다ㅉㅉ 김수현  이현우  박기웅 잘생긴거 말고는 아무 의미가 없는 영화,1,0,0,0,0,0
101,봉만대 작품 중 가장 재밌고 감동있다. 진짜 잘 만들었다.,10,0,1,0,0,1
102,잼있음 연기도 잘하고 4회로 보여줄수 있는거 다보여준듯,10,1,0,0,0,1
103,이 드라마 평점 댓글 수준이 왜 이모양일까.. 정말 대작이다.. 나에겐..이은우의 재발견...본방사수하였으나 또보고 하염없이 눈물이 흐른다..,10,1,0,0,0,0
104,아 미치겟다.. 중간중간 나오는 테마 OST 넘흐좋아서 음원갖고싶어 죽겟는데 구할방법도 없고.. 나비가 부른 노래만 나와서 짜증나네.. 아... 그좋은 노래를 왜 앨범에 안넣은거지... 열받넹...,10,0,0,0,1,0
105,사랑이란 이런것이죠ㅠㅠ 내용도좋고괜찮았어요,10,0,0,1,0,0
106,윤기원도출연햇네?~~~코믹이미지를버리고...탈탈한연기로!!,7,1,0,0,0,0
107,내용이 탄탄하고 주연배우들의 연기도 괜찮다,9,1,0,1,0,0
108,여현수는 정말 잘생기고 연기도 잘하는 훈남이다.,10,1,0,0,0,0
109,신분타파와 해학  그리고 멋진 주인공과 영상미 탄탄한시나리오등 훌륭함,10,0,1,1,0,0
110,극찬할 수밖에 없는 연출과 스토리!! 정말 오랫만에 작품다운 작품을 본 것 같습니다.,10,0,1,1,0,0
111,그곳이호강하네여ㅎㅎ,10,0,0,0,0,0
112,눈이호강하네여ㅎㅎ,10,0,0,0,0,0
113,7점.  이정도면 신선하고 연출괜찬죠.  다만 죽는장면을 좀더 화끈하게해줬더라면 하는아쉬움.,10,0,1,0,0,0
114,보다보니 재미는 없는데 궁금해서 끝까지 봤지만... 괜히 봤다는 생각이 ㅡ.ㅡ; 재미는 없어요옹. 교훈은 있지만+_+;;,3,0,0,0,0,1
115,설마 귀신이 접속했다는 게 트루?,2,0,0,0,0,0
116,인터넷으로 사람에게 상처주는일 없었음 하는바램에서 5점줬습니다 영화 진짜 재미없네요,5,0,0,0,0,1
117,1점도 아까운영화 정말 어이없는영화,1,0,0,0,0,0
118,똥싸개의 분노는 무섭다,5,0,0,0,0,0
119,저예산치곤 긴장감도있고나름나쁘진않는데 근데 뭔가있는것같디 끝이 궁금증만 남기네 모냐?,7,0,0,0,0,1
120,"(그곳 말로) 니들이 죽였다 ""이기야""!",8,0,0,0,0,0
121,어차피 다죽일거면서 못된년...,6,0,0,0,0,0
122,다죽는다~으하하핫ㅇㅇ,10,0,0,0,0,0
123,자업자득...씻을 수 없는 상처를 남게된 누군가의 생각없는 장난...친구라 말하고 뒤로 호박씨까는 그들의 잔인한 이중성...,5,0,0,0,0,0
124,아..똥싸다 끊긴기분이랄까,6,0,0,0,0,0
125,좀 많이 실망스러운 영화.,1,0,0,0,0,1
126,내가 여태 많은 영화에 평점을 매겼지만.. 6점 밑으로 내려온 영화는 이게 처음이다... 와... 진짜 사운드 빠방하게 40인치 티븨로 보는데도 잠이 오냐.. 그래도 킬링타임으로 쳐줘서 5점 줬다.. ㅅㄱ...,5,0,0,0,0,1
127,탄탄하지 않은 스토리와 저예산영화로 화려하지도 않음. 볼게 없는 영화. 킬링타임용으론 괜찮아서 5점줌,5,0,1,1,0,0
128,안보고 넘겨도 되는 영화.,3,0,0,0,0,0
129,변명하고 책임회피하는 아주 못된 여주,7,0,0,0,0,0
130,아! 차라리 인강들을껄!,1,0,0,0,0,0
131,특이하고 참신한 연출이 맘에 들었다.착하게살자,8,0,1,0,0,0
132,영어 잘 못 하는 분들이나 Skype 이용 안 해본 사람한테는 재미 없을 겁니다. 하지만  연출  플롯  영상 등 작품성으로 보면 아주 훌륭한 작품입니다. SNS를 이용하는 모두가 꼭 반드시 봐야 된다고 생각합니다. 친구들한테도 추천해주세요.,10,0,1,1,0,1
133,파라노말엑티비티처럼 왁!하고 끝낸건 좀 아쉽지만  최근 본 공포중 그나마 좀 낫다. 소셜포비아와 같이 보면 좋을듯,6,0,0,0,0,0
134,한국에서 개봉을 한이유가 무엇,2,0,0,0,0,0
135,친구삭제는 무슨... 다 보고 나면 영화삭제 한다 ㅡ.ㅡ;;,1,0,0,0,0,0
136,믹서기씬이랑 박치기씬 좋았어요 좀더 잔인했다면 ..,10,0,1,0,0,0
137,정말 지루하고 재미없던 영화,1,0,0,0,0,1
138,지루하고 볼수록 짜증나는 스토리,3,0,0,1,0,1
139,요즘 시대에 맞춘 색다른 공포물을 만들고 싶었나본데 공포감은 느낄 수가 없었음. 아까운 내 시간...,1,0,0,0,0,0
140,어차피 공포영화는 다 거기서거기 하지만 그런 공포에 신선함을 담으면서 정보화시대인 지금 자기 자신을 한번쯤은 되돌아보기 좋은 영화,7,0,0,0,0,0
141,10명중 9은 보고나면 욕할영화. 그나마 난 한명에 속했지만 도저히 5점 이상은 줄수가 없네,5,0,0,0,0,0
142,오직 컴퓨터 화면으로 진행하는 설정은 신선하고  ‘마녀사냥’과 왕따라는 사회의 문제점도 효과적으로 상기시킨다. 하지만 극장보단 집에서 보는 게 더 어울리고  공포 장면은 생각만큼 충분치 않다.,6,0,1,0,0,0
143,평점 왤케  낮은지 이해 안됨.. 새벽 3시에 불꺼놓고 봐서 그런가...야한거든 무서운거든 큰 기대 안하고 보면 볼만한 영화,7,0,0,0,0,0
144,혼자서 시간 때우기 용으로 본다면 충분히 즐길 수 있는 영화.아기자기한 재미가 있고 누구나 가지고 있는 추악함을 잘 표현했음.,8,0,0,0,0,1
145,신선함과 스토리텔링의 불균형,5,0,0,1,0,0
146,캠을 통한 연출기법은 이미 다른 영화에서도 봐서 참신하지도 않았고 내용 또한 디지털 세대에선 너무 흔해빠졌다,5,0,1,1,0,0
147,세상에...할말을 잃음,1,0,0,0,0,0
148,알렉스 퍼커슨:내인생 최고의 영화다,10,0,0,0,0,0
149,제작비 천만원과 손병호게임만 기억이 남네....,2,0,0,0,0,0
150,처음부터 끝까지 채팅방만 보여주는데 너무 지루하다. 원래 공간이 한정돼있으면 내용이 그만큼 재밌어야 하는데 전혀. 공포는 단 0.1퍼센트도 느껴지지 않음 다큐멘터리 보는 줄,1,0,1,1,0,1
151,나중에 서로서로 이실직고 꼰지를땐 잼있음 ㅋㅋ 공포라기보단 나에겐 그냥 코미디같은 영화.,5,0,0,0,0,1
152,꽐라되서 똥싼년이 친구들 탓하는 그런영화 지잘못은 생각못하고 욕하는영화,4,0,0,0,0,0
153,친구한텐 전화해도 경찰한텐 챗팅창을 이용하는 멋스러움 ㅡㅡ;;;;,4,0,0,0,0,0
154,진짜 재미없네요. 볼까 말까 하다가 본 제가 다 멍청한듯,1,0,0,0,0,1
155,중반까지는 진짜 재밌어서 9점 줄라했는데  후반에 아쉬워서 8점.(공포 스릴러 버프로 +1해서 8점),8,0,0,0,0,1
156,평점이 상당히 낮네.. 대부분의 공포영화가 질이 떨어지지만 이건 보면서 재미있게 봤는데ㅋ 접근법이 참신했고 실제 저 상황이라면 어떨까 생각하고 본다면 충분히 무서운영화. 귀신 뻥뻥 놀래키고 유혈낭자한 고어영화만 공포영화가 아님.,8,0,1,0,0,1
157,일단 소재가 신선합니다 범인은 그냥 귀신의 소행이다 리고 알고 보시면 될 듯 합니다.,7,0,0,0,0,0
158,일점도아깝다 누가돈준다해도안볼것이다,1,0,0,0,0,0
159,개인적으로 상당히 재밌었음. 런닝타임 내내 지루하진 않았으나 갑자기 놀래키고 귀신이 나오고 이런 건 없음. 공포영화는 이래야 된다고 봄,10,0,0,0,0,1
160,악플의 댓가의 내용의 표현은 알겠다만 너무 밋밋하고 허무하다 답답함 그자체,2,0,0,1,0,1
161,이게 뭐야 왜 죽어 왜 자살해 답답하네 이해가 안되네 살짝 으스스,3,0,0,0,0,0
162,어지럽고 또 어지럽다.,5,0,0,0,0,0
163,뭔가 기대한게 커서 많이 실망했달까...,6,0,0,0,0,0
164,평점이 별로인대 그렇게 나쁜영화같진않다 넷상에서도 악플을달면안된다는 교훈이 담겨있고 좋은내용의 영화이다 물론 브금선정도 훌륭한영화이다.. 하지만 돈을내고 영화관에서 볼만한영화보단 집에서 소소하게 소중한사람과 볼영화같다고 생각이든다.,8,0,0,1,0,0
165,난 결말이 미치가 다 꾸민건줄 알았는데 여친이 바람핀 사실 숨겨서...,1,0,0,0,0,0
166,주인공이 페이스북이나 다른거할땐 왜 다 갑자기 조용해지는거?,1,0,0,0,0,0
167,나름 아이디어가 괜찮았지만 결말이 너무 허망하다.,6,0,0,1,0,0
168,집에서돈4천원주고보다니 진짜 쓰레기영화보지마삼 아놔 재미업슫,1,0,0,0,0,1
169,기대하고 봤는데 조금 아쉬움,5,0,0,0,0,0
170,컴퓨터 화면으로 이야기가 전개되는건 좀 신선했으나 지루하기도 했다 그리고 대체로 귀신들이 나오는 영화가 그렇듯 결국은 다 개죽음...,5,0,1,1,0,1
171,겉은 참신했지만  내용은 뻔했고  채팅 안 하는 사람들이 보기에는 뭔가 어색한 영화,6,0,1,1,0,0
172,막완전 으스스하고 그러진않지만 소재가 좋다 우리나라 일베하며 페이스북에서의 마녀사냥등 여기저기 정신이상한 사람들의 남 생각안하는 댓글들  그리고 행동들 정신차리고 살기를 바란다 이렇게 당하고 싶지않으면(개인적으로 저게 귀신이아니라 사람이었으면 재밌었을,10,0,0,0,0,1
173,영화는 나쁘지 않다 열뻗치는 영화,5,0,0,0,0,0
174,이거 공포영화맞나요???,4,0,0,0,0,0
175,골때리네.... 그냥 결자해지야,6,0,0,0,0,0
176,신선한 시도  한정된 공간에서 이 정도의 쫄깃함이면 꽤나 괜찮다,7,0,1,0,0,0
177,이정도의 평가를 받을 영화는 아니다 10~20대에게 익숙한 화면으로 신선한 공포를 주었다. 팔로우와 더불어 저평가된 공포영화,8,0,1,0,0,0
178,나름 흥미진진 하긴 했는데 결국 복수하는 사람이 누군지 모르겠네,7,0,0,0,0,1
179,아 노오답이다 ㅋㅋㅋㅋ,3,0,0,0,0,0
180,너무 지루해서 졸면서 영화 봤다.,1,0,0,0,0,1
181,컴퓨터 화면상에서 이루어지는 새로운 형태의 영상미. 틴에이지호러의 전형적인 모습. 타임킬링용으로 딱 좋았음,9,0,1,0,0,0
182,극장에서 보기엔 영상자체가 좀 낭비같은 웹툰이나 웹드라마 처럼 집에서 혼자 조그만 화면으로 보는데 최적화된 느낌,5,0,1,0,0,0
183,뿌직. 쾍. 드르륵 드르륵. 펑. 덜덩덜덜. 쑥. 쿠와악!,10,0,0,0,0,0
184,인간관계의 씁쓸한 면을 보여준다는 것에 그나마 이정도의 점수.,5,0,0,1,0,0
185,졸라 화면답답. 그 이상     답이 없다;;,1,0,1,0,0,0
186,그냥... 무서운거 없습니다.잔인하고30~50분 이야기 해요.가족이랑보고 있는데 막ㅅㅅ이런말해서 나만 이상해지고차리리 청불하고 영화를 만들지..,1,0,0,1,0,0
187,극장에서 안보길 잘했다,1,0,0,0,0,0
188,재밌게 봤고 SNS에 위험성을 알게 됐습니다,10,0,0,0,0,1
189,뭔가 엉성하긴하지만 나름 긴장감 줄수 있어서 재밌었어요!,8,0,0,0,0,1
190,여기 악플다는 충들을 청소해주소 로라여,10,0,0,0,0,0
191,요 근래에 나온 호러물중에 제일 낫다.. 그리고 평점은 이해가 안간다 영화 내용을 이해를 못한건가? 전개와 인물 심리묘사는 상당히 훌륭하고 재밌게 봤음.,10,0,0,1,0,1
192,초중반까지 잼있음.  흥미진진하고 범인이 누굴까 기대하게됨. 근데 결말이.... 도대체 뭔지 모르겠음.,7,0,0,0,0,1
193,똥싼년이  화풀이 하는격,7,0,0,0,0,0
194,디지털 세대에게 어울리는 공포의 맛,7,0,0,0,0,0
195,평점보고 별 기대 없이 봤는데.. 예상보다는 볼 만했다. 오직 피씨화면으로만 진행되는 전개방식도 좀 색다르고 나름 신선.... 전체적으로 몇몇부분은 좀 아쉬운듯하고  마지막 장면은 좀 깬다.,7,0,1,0,0,0
196,ㅋㅋㅋ 극장에서 안 보길 잘했네요.. 결말은 블레어가 제일 개 OO,1,0,0,0,0,0
197,무섭네요. 무더운 여름밤 맥주 한잔 마시며 가볍게 보기 딱 좋습니다. 마지막 장면은 영화 귀신소리찾기와 비슷~ 노골적인 등장에 등꼴이 서늘,8,0,0,0,0,0
198,새로운 시도도 좋았고  지루하지도 않았으나 재미도 없었음. B급 킬타용.,5,0,1,0,0,1
199,와 진짜 신기한 영화 ㅋㅋㅋㅋ,10,0,0,0,0,0
200,절반정도봣는데  6점대면 공포영화치고 잼난수준인데 이건 지루해서 그만보고싶다 진짜 진짜 지루해미치버릴꺼같은 영화네  영화자체가 볼게없어,1,0,0,0,0,1
201,무섭지도 않고 이토록 지루할 줄이야...,1,0,0,0,0,1
202,내가 본 영화중 최악의 결말,1,0,0,1,0,0
203,아이디어가 대단하다. 모니터화면만 나와도 감정선이 엄청 복잡하다.,10,0,0,1,0,0
204,반복되는 공포에 진부함이 있지만 참신하고 꾀 공포스러웠다. 결말이 좀 아쉬울뿐,7,0,0,1,0,0
205,나름 몰입해서 잼있게 봤다.,7,0,0,0,0,1
206,(스포주의) 시도는 좋았으나 (+1) 끔찍하게 재미없는 공포 스릴러. (-8) 사람이 벌인짓 인줄 알았으나 로라가 귀신이 되어 벌인 짓인 것 보고 진짜 경악했다.,2,0,1,0,0,1
207,컴퓨터를 하지말면되잖아  !!!!,1,0,0,0,0,0
208,10점 영화는 절대 아니지만 아래 분 말대로 시원하고 가볍게 볼수 있는 영화라고 생각하는데 평점이 더 무섭네요. 적어도 7.5는 되야할 영화.,8,0,0,0,0,1
209,나만 재밌었나..ㅠ 여름에 가볍게 볼 수 있는 신선한 공포영화 악플달면 저래 돼요,10,0,0,0,0,1
210,그냥 그냥 그냥 그랬음둥요,7,0,0,0,0,1
211,OOO기 22분보다껐는데 22분이 너무 아깝다,1,0,0,0,0,1
212,존나재미있음 꼭보세요.재발 봐주세요.,10,0,0,0,0,1
213,시대 대비해도 별로인 작품. 김승우 존잘. 장민경 비주얼 나름 괜춘. 연출 시망. 시나리오 시망. 영상미 시망. 재밌다가 만. 김승우 비주얼빼곤 보게없는 시망작..,1,0,1,0,0,1
214,황당합니다. ...예고편은 일본영화 &#39;비밀&#39;이네요. 고바야시 카오루랑 히로스에 쿄코나오는...네이버 이상하네요,10,0,0,0,0,0
215,1,8,0,0,0,0,0
216,1,7,0,0,0,0,0
217,역시 김승우는 멋지다.,10,0,0,0,0,0
218,"""쓰레기를 보았다.""",1,0,0,0,0,0
219,도대체 이 영화가 '아오이 소라' 출연작 보다 나은 점이 뭘까?,1,0,0,0,0,0
220,개인적으로 이 영화를 접하였다는 사실을 영원토록 '비밀'로 해 두고 싶군.,1,0,0,0,0,0
221,여고괴담 감독의 작품이라고는 믿기지 않을 졸작,1,0,1,0,0,0
222,난 그냥 이 영화가 재미없다고 생각햇어요,5,0,0,0,0,1
223,미칠뻔한 영화~,4,0,0,0,0,0
224,포스터 김준?,10,0,0,0,0,0
225,박기형 당신이 어떻게 감독이 됐는지 모르겠다!!!! 짜증난다.,1,0,1,0,0,0
226,손예진이 벙어리 여주인공 목소리 살짝 한것도 작품속에 들어가나...ㅡㅡ,7,1,0,0,0,0
227,분명 극장용 영화는 아니지만 충분히 볼만한 가치는 있는 영화,9,0,0,0,0,0
228,네이버에서 없어져야 할영화..,1,0,0,0,0,0
229,king6788 윤미조 = 장민경 같은 인물임 ㅇㅋ?,10,0,0,0,0,0
230,king6788 데뷔 :1999년 잡지 쎄씨 모델 이때 했다 검색좀 해,6,0,0,0,0,0
231,이거 뭐야~,5,0,0,0,0,0
232,딴것은 전혀 고려하지 않고 미조만 염두에 두었나?,3,0,0,0,0,0
233,개봉 일주일 안되서 봤는데... 영화관에 4명있더라.. 그럴만하다,2,0,0,0,0,0
234,죠낸 재밌을줄알고 집에서 본영화 죠낸 시간낭비 ㅗ,1,0,0,0,0,1
235,주인공소재연기줄거리다괜찮은데연출이영...,10,1,1,0,0,0
236,괜찮네.,7,0,0,0,0,0
